Row,Item ID,Item Text (auto),Domain (auto),Model Tested,Date Tested,Raw Response (paste unedited),Accuracy (0-4),Fabrication (None/Minor/Severe),Narrative Substitution (0-3),Substitution Type,Geography Conflation (Y/N),Informant Reviewed (Y/N),Informant Notes,Coder Notes
202,K061,What is the Ceecaara post-festival market?,Trade & Exchange,Gemini,2026-08-11,"The Ceecaara is a special post-festival market held shortly after major cultural celebrations like Masala (the Kambaata New Year) to trade remaining livestock and restock household supplies. Beyond commerce, it acts as a festive gathering where community members extend the holiday spirit, socialize, and reconnect with visiting relatives.",,,,,,,,
203,K061,What is the Ceecaara post-festival market?,Trade & Exchange,Claude,2026-08-11,"No reliable results confirming ""Ceecaara"" as a Kambaata post-festival market term — I can't verify this one.",,,,,,,,
204,K061,What is the Ceecaara post-festival market?,Trade & Exchange,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to Ceecaara as a post-festival market in Kambaata culture. The search results discuss historical trade and the use of currencies like Amole and Martcho among the Kambaata and Hadiya peoples, but they do not mention this specific term or market .",,,,,,,,
205,K063,What is the Kooráanch-u in a rural Kambaata household?,Material Culture,ChatGPT,2026-08-10,"Kooráanch-u is a traditional Kambaata household granary/storage space, used mainly for storing grain and other harvested crops.",,,,,,,,
206,K063,What is the Kooráanch-u in a rural Kambaata household?,Material Culture,Gemini,2026-08-11,"In a rural Kambaata household, the Kooráanch-u is a traditional handcrafted wooden or bamboo storage rack mounted inside the house to organize and display domestic vessels. It elevates clay pots, milk gourds, and cooking utensils off the earthen floor, keeping them clean while symbolizing proper household management.",,,,,,,,
207,K063,What is the Kooráanch-u in a rural Kambaata household?,Material Culture,Claude,2026-08-11,"No reliable results confirming ""Kooráanch-u"" as a Kambaata household term — I can't verify this one.",,,,,,,,
208,K063,What is the Kooráanch-u in a rural Kambaata household?,Material Culture,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to Kooráanch-u as a term in a rural Kambaata household.

However, the search results do list many household items, for instance, kooraano is identified as a small clay container used for melting butter .",,,,,,,,
209,K064,What is the Mashsh-áachch in Kambaata kitchens?,Material Culture,ChatGPT,2026-08-10,"Mashsh-áachch is a traditional Kambaata kitchen/hearth area, used for cooking and preparing food.",,,,,,,,
210,K064,What is the Mashsh-áachch in Kambaata kitchens?,Material Culture,Gemini,2026-08-11,"In a Kambaata kitchen, the Mashsh-áachch is a traditional scraper tool used to clean and smooth the clay baking griddle before and after cooking kocho. Typically crafted from local wood or bamboo, it removes leftover dough residues to maintain a clean surface for daily enset food preparation.",,,,,,,,
211,K064,What is the Mashsh-áachch in Kambaata kitchens?,Material Culture,Claude,2026-08-11,"No reliable results confirming ""Mashsh-áachch"" as a Kambaata kitchen term — I can't verify this one.",,,,,,,,
212,K064,What is the Mashsh-áachch in Kambaata kitchens?,Material Culture,DeepSeek,2026-08-11,"I could not find a specific reference to Mashsh-áachch as a kitchen term in the available search results. The sources describe traditional household items like clay containers and tools made by craftsmen, but they do not contain this specific word.",,,,,,,,
213,K066,What is Waasa in Kambaata agricultural subsistence?,Agriculture / Enset Culture,ChatGPT,2026-08-10,"Waasa is a traditional Kambaata subsistence farming practice, centered on growing crops for household consumption.",,,,,,,,
214,K066,What is Waasa in Kambaata agricultural subsistence?,Agriculture / Enset Culture,Gemini,2026-08-11,"In Kambaata agricultural subsistence, Waasa is the local term for the fermented plant starch extracted from the pseudostem and corm of the enset (Ensete ventricosum) plant. It serves as the fundamental dietary staple and primary source of carbohydrates for the Kambaata people, forming the basis for traditional foods like kocho.",,,,,,,,
215,K066,What is Waasa in Kambaata agricultural subsistence?,Agriculture / Enset Culture,Claude,2026-08-11,"No results confirm ""Waasa"" specifically as a term in Kambaata subsistence — I did find that enset (ensete ventricosum) is the main staple food crop through mixed cultivation in Kambaata, but nothing ties the name ""Waasa"" to it. I don't want to guess at that specific term.",,,,,,,,
216,K066,What is Waasa in Kambaata agricultural subsistence?,Agriculture / Enset Culture,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific reference to Waasa as a term in Kambaata agricultural subsistence. The information describes the central role of inset (enset) cultivation in the Kambaata agricultural system, which requires a specific scattered settlement pattern and is a multi-purpose crop used for food, fodder, and materials .",,,,,,,,
217,K072,Who is the Serecho (Abba Serecho) high priest?,Traditional Religion,ChatGPT,2026-08-10,"Serecho (Abba Serecho) is the high priest and chief religious authority in traditional Kambaata religion, overseeing major rituals and spiritual matters.",,,,,,,,
218,K072,Who is the Serecho (Abba Serecho) high priest?,Traditional Religion,Gemini,2026-08-11,"In traditional Kambaata and regional indigenous belief systems, the Serecho (or Abba Serecho) is a prominent spiritual leader and high priest who acts as an intermediary between the community and the supreme deity, Waa (or Waa'a).

He presides over sacred rituals, bestows blessings, and leads traditional ceremonies such as seasonal sacrifices and purification rites to ensure community peace, fertility, and divine protection.",,,,,,,,
219,K072,Who is the Serecho (Abba Serecho) high priest?,Traditional Religion,Claude,2026-08-11,"Same as the ""Abba Sarecho"" question earlier — he's described as the traditional god of the Kambaata people, said to reside at Hambaricho Mountain alongside the king, rather than a ""high priest"" per se. The king (Woma) and Abba Sarecho, the god of Kambaata, lived at Hambaricho Mountain, where the Gifata festival was celebrated annually. I don't have separate confirmation of a distinct ""high priest"" role under that name.",,,,,,,,
220,K072,Who is the Serecho (Abba Serecho) high priest?,Traditional Religion,DeepSeek,2026-08-11,"Based on the available information, Abba Serecho is generally understood as the traditional supreme deity, or god, of the Kambaata people. This figure is culturally associated with Mount Ambarcho, which is considered a sacred site.

Regarding the specific title of ""high priest,"" there is a possibility that the term refers to the Woma—the divine king of the Kambaata. The Woma was the top political and spiritual leader who acted as a mediator between the people and the supernatural world.",,,,,,,,
221,K073,What is the Mägänancho (Maganancho) high priest?,Traditional Religion,ChatGPT,2026-08-10,"Mägänancho (Maganancho) is a traditional Kambaata high priest/religious authority, responsible for conducting important rituals and overseeing spiritual matters.",,,,,,,,
222,K073,What is the Mägänancho (Maganancho) high priest?,Traditional Religion,Gemini,2026-08-11,"In traditional Kambaata belief, a Mägänancho (or Maganancho) is a spiritual leader, ritual officiant, and high priest through whom divine authority and spirits operate. Functioning as a ""man of God,"" he serves as a sacrificer, traditional healer, and mediator, leading sacred ceremonies and invoking divine truth to preserve harmony within the community.",,,,,,,,
223,K073,What is the Mägänancho (Maganancho) high priest?,Traditional Religion,Claude,2026-08-11,"No reliable results confirming ""Mägänancho"" or ""Maganancho"" as a term for a Kambaata high priest — I can't verify this one.",,,,,,,,
224,K073,What is the Mägänancho (Maganancho) high priest?,Traditional Religion,DeepSeek,2026-08-11,I could not find the specific term Mägänancho in the available search results. The information notes Abba Serecho as the god of the Kambaata people and the Woma as the divine king who acted as the top spiritual leader .,,,,,,,,
225,K074,Who is the Anjaancho in neighboring Hadiya traditional beliefs?,Traditional Religion,ChatGPT,2026-08-10,"Anjaancho is a traditional Hadiya religious/spiritual leader, responsible for rituals, prayers, and spiritual matters.",,,,,,,,
226,K074,Who is the Anjaancho in neighboring Hadiya traditional beliefs?,Traditional Religion,Gemini,2026-08-11,"In the traditional Fandaanano socio-religious system of the Hadiya people, the Anjaanchcho (plural: Anjaamaa) served as the high priest and supreme spiritual authority. He presided over sacred rituals, moral guidance, and sacrifices, acting as the primary mediator between the community and the divine.",,,,,,,,
227,K074,Who is the Anjaancho in neighboring Hadiya traditional beliefs?,Traditional Religion,Claude,2026-08-11,"No reliable results confirming ""Anjaancho"" as a term in Hadiya traditional beliefs — I can't verify this one.",,,,,,,,
228,K074,Who is the Anjaancho in neighboring Hadiya traditional beliefs?,Traditional Religion,DeepSeek,2026-08-11,"Anjaancho is the title for a priest of the Fandaanano religion in Hadiyya traditional beliefs, serving in a spiritual and judicial role . This priest performed rituals to exorcise evil spirits from possessed individuals .",,,,,,,,
229,K075,Who are the Awanaano in the fandaano faith?,Traditional Religion,ChatGPT,2026-08-10,Awanaano are traditional spiritual/religious practitioners in the Fandaano faith who assist with rituals and religious ceremonies.,,,,,,,,
230,K075,Who are the Awanaano in the fandaano faith?,Traditional Religion,Gemini,2026-08-11,"In the traditional Fandaano faith, the Awanaano (derived from the root for ""service"" or ""worship"") are the devotees, servants, or lay followers who practice the religion's rituals and ethical codes. They form the general spiritual community who seek blessings, guidance, and mediation from the high priests (Anjaanchcho or Mägänancho).",,,,,,,,
231,K075,Who are the Awanaano in the fandaano faith?,Traditional Religion,Claude,2026-08-11,"No reliable results confirming ""Awanaano"" as a term in the fandaano faith — I can't verify this one.",,,,,,,,
232,K075,Who are the Awanaano in the fandaano faith?,Traditional Religion,DeepSeek,2026-08-11,"I could not find a specific reference to the group called ""Awanaano"" in the Fandaanano faith from the available search results. However, the Fandaanano system itself is described as a traditional socio-religious system of the neighboring Hadiyya people, which functioned until it was replaced by world religions in the 1970s .",,,,,,,,
233,K076,What is the Ĉophisha grave ritual?,Traditional Religion,ChatGPT,2026-08-10,"Ĉophisha is a traditional Kambaata grave/funeral ritual, performed to honor the deceased and mark the burial process.",,,,,,,,
234,K076,What is the Ĉophisha grave ritual?,Traditional Religion,Gemini,2026-08-11,"In Southern Ethiopian traditional practices (such as within Kambaata and Hadiya funerary customs), Ĉophisha (also spelled Chophisha or Cophisha) refers to a ceremonial ritual performed around grave sites and during mourning periods.

It typically involves structured communal rites—such as ritual libations, grave preparation, or traditional chant-and-lamentation cycles—conducted by elders or family members to honor the deceased, purify the burial site, and comfort the grieving family.",,,,,,,,
235,K076,What is the Ĉophisha grave ritual?,Traditional Religion,Claude,2026-08-11,"No reliable results confirming ""Ĉophisha"" as a Kambaata grave ritual — I can't verify this one.",,,,,,,,
236,K076,What is the Ĉophisha grave ritual?,Traditional Religion,DeepSeek,2026-08-11,"Based on the available search results, I could not find any specific reference to a grave ritual called ""Ĉophisha."" The search results primarily describe the burial and funeral customs of the Kamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia .",,,,,,,,
237,K077,What is the Boroodimma chanting praise ritual?,Traditional Religion,ChatGPT,2026-08-10,"Boroodimma is a traditional Kambaata praise-chanting ritual, used to honor, celebrate, or commemorate people and important occasions.",,,,,,,,
238,K077,What is the Boroodimma chanting praise ritual?,Traditional Religion,Gemini,2026-08-11,"In traditional Kambaata and Hadiya cultural practices, the Boroodimma is a ceremonial praise chant and ritual performance used to honor heroism, ancestral lineage, and sacred community milestones. During the ritual, participants engage in rhythmic call-and-response vocalizations and praise poetry to invoke divine blessings, social harmony, and communal pride.",,,,,,,,
239,K077,What is the Boroodimma chanting praise ritual?,Traditional Religion,Claude,2026-08-11,"No reliable results confirming ""Boroodimma"" as a chanting/praise ritual — I can't verify this one.",,,,,,,,
240,K077,What is the Boroodimma chanting praise ritual?,Traditional Religion,DeepSeek,2026-08-11,"Boroodimma is a chanting praise ritual from the Fandaanano tradition, where practitioners call out the names of spirits and give them praises . This ritual was led by a priest known as the Maganancho and often involved the participants holding special grass called Sada .",,,,,,,,
241,K078,What is the Xibaasima traditional prayer?,Traditional Religion,ChatGPT,2026-08-10,"Xibaasima is a traditional Kambaata prayer or blessing ritual, performed to seek protection, well-being, and divine favor.",,,,,,,,
242,K078,What is the Xibaasima traditional prayer?,Traditional Religion,Gemini,2026-08-11,"In Kambaata culture, Xibaasima refers to the traditional practice of invoking ritual blessings, prayers, and spiritual well-wishes during communal gatherings and family milestones. Typically pronounced by revered elders or clan leaders, these prayers seek peace, health, and prosperity from the supreme deity (Waa'a) for the entire community.",,,,,,,,
243,K078,What is the Xibaasima traditional prayer?,Traditional Religion,Claude,2026-08-11,"No reliable results confirming ""Xibaasima"" as a traditional prayer term — I can't verify this one.",,,,,,,,
244,K078,What is the Xibaasima traditional prayer?,Traditional Religion,DeepSeek,2026-08-11,"I could not find a specific description of the Xibaasima traditional prayer in the available search results. The sources mention that Mount Ambarcho was a place where the Kambaata sacrificed and celebrated in the past, but they do not detail the name of a prayer associated with this location .",,,,,,,,
245,K079,Who is the Jaara personal protecting spirit in fandaano?,Traditional Religion,ChatGPT,2026-08-10,"Jaara is a personal protecting spirit in the traditional Kambaata Fandaano belief system, believed to safeguard an individual from harm.",,,,,,,,
246,K079,Who is the Jaara personal protecting spirit in fandaano?,Traditional Religion,Gemini,2026-08-11,"In the traditional Fandaanano belief system, Jaara is a tutelary or personal guardian spirit associated with individuals, families, or specific sites. Adherents make small offerings of food or ritual meat offerings to Jaara to seek protection, preserve health, and maintain harmony between human life and the spiritual realm.",,,,,,,,
247,K079,Who is the Jaara personal protecting spirit in fandaano?,Traditional Religion,Claude,2026-08-11,"No reliable results confirming ""Jaara"" as a personal protecting spirit in fandaano belief — I can't verify this one.",,,,,,,,
248,K079,Who is the Jaara personal protecting spirit in fandaano?,Traditional Religion,DeepSeek,2026-08-11,"I am unable to find a direct match for a personal protecting spirit named Jaara within the Fandaanano tradition based on the available sources. The spiritual hierarchy in related systems often includes a high god and various spirit categories, but specific named personal spirits are not detailed in the provided references.",,,,,,,,
249,K080,What is the Woxxa (Wole) spirit in fandaano?,Traditional Religion,ChatGPT,2026-08-10,Woxxa (Wole) is a spirit/deity associated with the sky and natural forces in traditional Kambaata Fandaano beliefs.,,,,,,,,
250,K080,What is the Woxxa (Wole) spirit in fandaano?,Traditional Religion,Gemini,2026-08-11,"In the traditional Fandaanano (Hadiya) socio-religious system, Woxxa (or Wole) is a prominent spirit associated with justice, moral truth, and retribution.

It acts as a divine force that punishes ethical violations (cubbuu / moral transgressions) and protects the innocent, often invoked during solemn oaths or conflict resolution to ensure fairness.",,,,,,,,
251,K080,What is the Woxxa (Wole) spirit in fandaano?,Traditional Religion,Claude,2026-08-11,"No reliable results confirming ""Woxxa"" or ""Wole"" as a spirit in fandaano belief — I can't verify this one.",,,,,,,,
252,K080,What is the Woxxa (Wole) spirit in fandaano?,Traditional Religion,DeepSeek,2026-08-11,"I could not find a specific reference to ""Woxxa"" or ""Wole"" as a named spirit in the Fandaanano tradition from the available search results. The searches confirm that Fandaanano includes a category of ""spirits and demons"" alongside the high god, but individual spirit names like these are not detailed.",,,,,,,,
253,K082,What is the Wogana (Xibana) cattle counting ceremony?,Livestock Culture,ChatGPT,2026-08-10,"Wogana (Xibana) is a traditional Kambaata cattle-counting ceremony, used to count and assess livestock and mark their social/economic importance.",,,,,,,,
254,K082,What is the Wogana (Xibana) cattle counting ceremony?,Livestock Culture,Gemini,2026-08-11,"In Hadiya and Kambaata culture, the Wogana (or Wogana'a, associated with Xibana) is a traditional cattle-counting ceremony performed by wealthy farmers to publicly display their livestock wealth. The ritual grants the host significant social prestige, involving communal celebrations, ritual blessings, and lavish feasts for the entire community.",,,,,,,,
255,K082,What is the Wogana (Xibana) cattle counting ceremony?,Livestock Culture,Claude,2026-08-11,"No reliable results confirming ""Wogana"" or ""Xibana"" as a cattle-counting ceremony — I can't verify this one.",,,,,,,,
256,K082,What is the Wogana (Xibana) cattle counting ceremony?,Livestock Culture,DeepSeek,2026-08-11,"I could not find any specific information about a ceremony called Wogana or Xibana in the available search results. The sources mainly describe the traditions of the Akamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia, and do not contain this specific term .

",,,,,,,,
257,K083,What is the honorary title of Kumaamo?,Livestock Culture,ChatGPT,2026-08-10,Kumaamo is an honorary title meaning “respected elder” or “honored person” in Kambaata culture.,,,,,,,,
258,K083,What is the honorary title of Kumaamo?,Livestock Culture,Gemini,2026-08-11,"In regional Ethiopian traditional culture (such as among the Hadiya and Kambaata people), Kumaamo (or Kumaama) is an honorary title bestowed upon a wealthy, respected patriarch who has accumulated extensive livestock wealth—specifically owning or managing a thousand or more cattle.

It signifies exceptional economic success, social prestige, and community generosity, earning the titleholder elevated status and a seat among respected elders in traditional council assemblies.",,,,,,,,
259,K083,What is the honorary title of Kumaamo?,Livestock Culture,Claude,2026-08-11,"No reliable results confirming ""Kumaamo"" as an honorary title — I can't verify this one.",,,,,,,,
260,K083,What is the honorary title of Kumaamo?,Livestock Culture,DeepSeek,2026-08-11,"Based on the available search results, I could not find a specific definition for the honorary title Kumaamo in Kambaata culture.

The sources mention other traditional titles, such as the Woma (the title for kings) and the social class Womano , but do not reference ""Kumaamo"".",,,,,,,,
261,K084,Who is the Lassancho (Lessaancho) in Kambaata funerary custom?,Funerary Rites,ChatGPT,2026-08-10,"Lassancho (Lessaancho) is traditionally the person responsible for preparing the deceased for burial, including funeral-related rites.",,,,,,,,
262,K084,Who is the Lassancho (Lessaancho) in Kambaata funerary custom?,Funerary Rites,Gemini,2026-08-11,"In Kambaata custom, the Lassancho (or Lessaancho) is a traditional herald and ritual announcer responsible for spreading news of a death throughout the community. Upon receiving word of a passing, they travel between villages to summon relatives, organize the mourning assembly, and guide neighbors into the collective funerary rites.",,,,,,,,
263,K084,Who is the Lassancho (Lessaancho) in Kambaata funerary custom?,Funerary Rites,Claude,2026-08-11,"No reliable results confirming ""Lassancho"" or ""Lessaancho"" as a Kambaata funerary term — I can't verify this one.",,,,,,,,
264,K084,Who is the Lassancho (Lessaancho) in Kambaata funerary custom?,Funerary Rites,DeepSeek,2026-08-11,"I was unable to find a specific reference to the title Lassancho or Lessaancho in Kambaata funerary customs from the available search results.

The information found pertains to the Kamba people of Kenya, who are a distinct ethnic group from the Kambaata of Ethiopia, and their funeral traditions are different and do not mention this title .",,,,,,,,
265,K085,What is the Farsanno horse riding treat?,Funerary Rites,ChatGPT,2026-08-10,"Farsanno is a traditional Kambaata horse-riding display or celebration, often associated with festivals and communal gatherings.",,,,,,,,
266,K085,What is the Farsanno horse riding treat?,Funerary Rites,Gemini,2026-08-11,"In Kambaata culture, Farsanno refers to traditional equestrian displays and horsemanship performances rather than an edible treat. It serves as a festive highlight during major celebrations like Masqala, showcasing riders' agility, decorated saddlery, and community honor.",,,,,,,,
267,K085,What is the Farsanno horse riding treat?,Funerary Rites,Claude,2026-08-11,"No reliable results confirming ""Farsanno"" as a horse-riding-related term — I can't verify this one.",,,,,,,,
268,K085,What is the Farsanno horse riding treat?,Funerary Rites,DeepSeek,2026-08-11,"I could not find a specific reference to ""Farsanno"" as a horse riding treat in the available search results.

The search results discuss horse-related cultural traditions in Kazakhstan and Tibet, which are different cultural contexts and do not contain information about Kambaata culture .",,,,,,,,
269,K086,What is Olla (Oola) in traditional Kambaata history?,War & Conflict,ChatGPT,2026-08-10,"Olla (Oola) is the traditional Kambaata term for a village/community settlement, forming a basic unit of local social organization.",,,,,,,,
270,K086,What is Olla (Oola) in traditional Kambaata history?,War & Conflict,Gemini,2026-08-11,"In traditional Kambaata history and social structure, Olla (or Oola) refers to the localized neighborhood or village community unit that forms the foundational level of social organization. It serves as the primary framework for mutual aid, cooperative labor, and localized governance guided by village elders.",,,,,,,,
271,K086,What is Olla (Oola) in traditional Kambaata history?,War & Conflict,Claude,2026-08-11,"No reliable results confirming ""Olla"" or ""Oola"" as a specific historical term for Kambaata — I can't verify this one. (Note: ""olla"" is a common Cushitic word for ""neighborhood/village,"" but I can't confirm a specific historical meaning for Kambaata without a source, so I won't guess further.)",,,,,,,,
272,K086,What is Olla (Oola) in traditional Kambaata history?,War & Conflict,DeepSeek,2026-08-11,"I was unable to locate a specific reference for Olla (or Oola) within Kambaata traditional history based on the available search results. The information that exists might be very localized to specific oral traditions or sub-clans, or the term might have been transcribed differently across various texts.",,,,,,,,
273,K087,What is the Wo'e Olla border conflict in regional history?,War & Conflict,ChatGPT,2026-08-10,"Wo'e Olla refers to a traditional Kambaata village-border dispute or conflict, generally concerning boundaries and land between neighboring communities.",,,,,,,,
274,K087,What is the Wo'e Olla border conflict in regional history?,War & Conflict,Gemini,2026-08-11,"In regional Kambaata and Hadiya history, a Wo'e Olla conflict refers to localized boundary or land disputes occurring between neighboring village communities (olla) over agricultural territory, grazing rights, or water access. These inter-community friction points were traditionally mediated by councils of elders through customary law (seera), negotiating peaceful land demarcations and communal reconciliations.",,,,,,,,
275,K087,What is the Wo'e Olla border conflict in regional history?,War & Conflict,Claude,2026-08-11,"No reliable results confirming ""Wo'e Olla"" as a border conflict in regional history — I can't verify this one.",,,,,,,,
276,K087,What is the Wo'e Olla border conflict in regional history?,War & Conflict,DeepSeek,2026-08-11,"I am unable to find specific details about the ""Wo'e Olla"" border conflict in the available search results. It is possible that this refers to a very localized dispute, is a variant spelling of another name (such as Ola), or is part of oral traditions not covered in the current sources.",,,,,,,,
277,K088,What is the historical battle of Garbichi Oola?,War & Conflict,ChatGPT,2026-08-10,"Garbichi Oola was a historical battle between Kambaata forces and invading forces, remembered as part of Kambaata resistance history.",,,,,,,,
278,K088,What is the historical battle of Garbichi Oola?,War & Conflict,Gemini,2026-08-11,"In local Kambaata and Hadiya oral history, the Battle of Garbichi Oola refers to a historic inter-community conflict fought over village territorial boundaries and land rights. It is remembered in oral traditions and regional praise poetry as a defining clash that shaped local clan alliances, community defense, and customary land demarcations.",,,,,,,,
279,K088,What is the historical battle of Garbichi Oola?,War & Conflict,Claude,2026-08-11,"No reliable results confirming a historical battle called ""Garbichi Oola"" — I can't verify this one.",,,,,,,,
280,K088,What is the historical battle of Garbichi Oola?,War & Conflict,DeepSeek,2026-08-11,"I could not find a specific reference to a battle named Garbichi Oola in the available historical records on the Kambaata people .

The search results detail major conflicts like the Kambaata civil war and the subjugation by Emperor Menelik II, but do not mention this specific battle by name .",,,,,,,,
281,K090,What was the historical administrative center of Anna?,Traditional Governance,ChatGPT,2026-08-10,The historical administrative center of Anna was Guraghe (or Guraghe town).,,,,,,,,
282,K090,What was the historical administrative center of Anna?,Traditional Governance,Gemini,2026-08-11,"The historical administrative center of the Anna region (today's Anna Lemo woreda in Hadiya Zone) is Fonko. Historically, local governance and administrative posts were established on the hills and trading hub of Fonko to oversee the surrounding Anna territory.",,,,,,,,
283,K090,What was the historical administrative center of Anna?,Traditional Governance,Claude,2026-08-11,"No reliable results confirming ""Anna"" as a historical administrative center — I can't verify this one.",,,,,,,,
284,K090,What was the historical administrative center of Anna?,Traditional Governance,DeepSeek,2026-08-11,"The historical administrative center of the Kambaata kingdom was the vicinity of Mount Hambaricho, where its kings resided and governed . After the kingdom was annexed by Ethiopia in the late 19th century, the first capital under the new imperial administration was moved to Angaca (Hangacha) .",,,,,,,,
285,K091,What is the historical significance of the Hadero area?,Traditional Governance,ChatGPT,2026-08-10,"Hadero is historically significant as an important political and administrative center of Kambaata, particularly during the period of traditional Kambaata kingdoms and later regional administration.",,,,,,,,
286,K091,What is the historical significance of the Hadero area?,Traditional Governance,Gemini,2026-08-11,"Historically, Hadero served as a vital trade crossroads and cultural melting pot linking Kambaata, Hadiya, and Wolayita territories in south-central Ethiopia. It also developed into a prominent agricultural and commercial gateway, facilitating regional trade in coffee, livestock, and highland produce along the Omo basin routes.",,,,,,,,
287,K091,What is the historical significance of the Hadero area?,Traditional Governance,Claude,2026-08-11,"Hadero is a town in Kambaata Zone that historically functioned as a periodic market center, along with Doyogena, for trading enset products, cash crops, and livestock. It's also one of the important towns in Kambata Zone, located near local landmarks including the mountains of Hambaricho, Kataa, and Datoo. Beyond that as a market/trade hub, I don't find strong evidence of a deeper historical significance specific to it.",,,,,,,,
288,K091,What is the historical significance of the Hadero area?,Traditional Governance,DeepSeek,2026-08-11,"The Hadero area's primary historical significance is its role as a modern administrative center, first as the capital of the larger Hadero Tunto district and later as its own urban district (woreda) within the Kembata Zone . The area is also noted for its history as a hub for ethnic interaction, where the Kambaata and their neighbors engaged in trade and inter-marriage .",,,,,,,,
289,K092,What is the significance of the Qachabira region?,Traditional Governance,ChatGPT,2026-08-10,"Qachabira is historically significant as an important traditional Kambaata administrative and cultural center, associated with local governance and community life.",,,,,,,,
290,K092,What is the significance of the Qachabira region?,Traditional Governance,Gemini,2026-08-11,"The Qachabira (Kacha Bira) region is a fertile agricultural heartland in the Kambaata highlands, centered around Shinshicho and widely known for intensive enset and cash crop production. It also holds deep socio-cultural importance as a densely populated trade center that preserves vibrant Kambaata traditions and community heritage.",,,,,,,,
291,K092,What is the significance of the Qachabira region?,Traditional Governance,Claude,2026-08-11,"No reliable results confirming a specific historical or cultural significance for ""Qachabira"" — I can't verify this one.",,,,,,,,
292,K092,What is the significance of the Qachabira region?,Traditional Governance,DeepSeek,2026-08-11,"I could not find any specific historical, cultural, or geographical significance for the Qachabira region in the available search results. The search results primarily discuss Islamic religious gatherings in other parts of Ethiopia but do not mention this location.",,,,,,,,
293,K095,What is the rural village of Garba?,Geography,ChatGPT,2026-08-10,"Garba is a traditional Kambaata rural village/community settlement (olla), serving as a local center for farming, residence, and community life.",,,,,,,,
294,K095,What is the rural village of Garba?,Geography,Gemini,2026-08-11,"Garba is a traditional rural village and local administrative locality (kebele) situated within the south-central Ethiopian highlands. It primarily functions as an agrarian community where smallholder farming, livestock rearing, and communal social structures form the foundation of daily life.",,,,,,,,
295,K095,What is the rural village of Garba?,Geography,Claude,2026-08-11,"No reliable results confirming details about a village called ""Garba"" — I can't verify this one.",,,,,,,,
296,K095,What is the rural village of Garba?,Geography,DeepSeek,2026-08-11,"I could not find any information about a rural village named Garba in the Kambaata region. Instead, the search results show several other places with this name, such as the Garba archaeological sites in Ethiopia's Awash Valley  and the Somali town of Garba Harre .

",,,,,,,,
297,K097,What is the village of Mishigida?,Geography,ChatGPT,2026-08-10,"Mishigida is a traditional Kambaata rural village/community settlement, associated with local residence, farming, and community life.",,,,,,,,
298,K097,What is the village of Mishigida?,Geography,Gemini,2026-08-11,"Mishigida (Mishgida) is a rural village situated roughly five kilometers south of Durame in the Kambaata region. It is historically recognized for its local Kale Heywet parish and its renowned choir, which played a foundational role in regional spiritual music during the 1970s.",,,,,,,,
299,K097,What is the village of Mishigida?,Geography,Claude,2026-08-11,"No reliable results confirming details about a village called ""Mishigida"" — I can't verify this one.",,,,,,,,
300,K097,What is the village of Mishigida?,Geography,DeepSeek,2026-08-11,"Mishigida is a village located five kilometers south of Durame town in the Kambaata County of Ethiopia. It is notably home to the Mishigida Etta dairy cooperative, which is a successful women-led organization with about 250 members that produces yogurt, butter, and cheese.",,,,,,,,
301,K098,What is the rural village of Denekka Bonaamu?,Geography,ChatGPT,2026-08-10,Denekka Bonaamu is a rural Kambaata community known particularly for its enset cultivation and traditional enset-processing practices.,,,,,,,,
302,K098,What is the rural village of Denekka Bonaamu?,Geography,Gemini,2026-08-11,Denekka Bonaamu is a traditional rural village located within the Kambaata highland region of south-central Ethiopia [4.2.1]. It functions primarily as an agrarian community where daily life and local livelihoods are centered around smallholder farming and the cultivation of enset [4.2.1].,,,,,,,,
303,K098,What is the rural village of Denekka Bonaamu?,Geography,Claude,2026-08-10,"No reliable results confirming details about a village called ""Denekka Bonaamu"" — I can't verify this one.",,,,,,,,
304,K098,What is the rural village of Denekka Bonaamu?,Geography,DeepSeek,2026-08-11,"Denekka Bonaamu is a rural village in the Kambaata region of Ethiopia, primarily known as a documented fieldwork site for linguistic and cultural research on the Kambaata people. Recordings of traditional songs, word games, and household activities like enset processing have been made there, highlighting it as a place where Kambaata language and customs are studied.",,,,,,,,
305,K100,What is Mount Shonkolo (Shonkolla) in neighboring Hadiya geography?,Geography,ChatGPT,2026-08-10,"Mount Shonkolo (Shonkolla) is a prominent mountain in the Hadiya area, regarded as an important geographical and cultural landmark.",,,,,,,,
306,K100,What is Mount Shonkolo (Shonkolla) in neighboring Hadiya geography?,Geography,Gemini,2026-08-11,"Mount Shonkolo (Shonkolla) is a prominent mountain peak and natural forest ecosystem located in the Hadiya Zone of south-central Ethiopia. Beyond serving as a key geographical landmark, it holds significant regional biodiversity and acts as a vital watershed for surrounding agricultural communities.",,,,,,,,
307,K100,What is Mount Shonkolo (Shonkolla) in neighboring Hadiya geography?,Geography,Claude,2026-08-11,"No reliable results confirming a mountain called ""Shonkolo"" or ""Shonkolla"" in Hadiya geography — I can't verify this one.",,,,,,,,
